texts,n chars,temperature,Output
你們要一起,50,1,你們要一起銀錢來了。只是我們三爺在家的屋裡人，各自家有個明路的事。」王夫人道：「我這家做得極主的，其實倒是怕誰
世間萬物不過一粒微塵,50,1,世間萬物不過一粒微塵緣，自然更好了兩日。」寶玉細細想到那《石頭記》給看看，遠遠寫著，見他依得相見，便細細的想起：「才明了
世間萬物不過一粒微塵,50,1,世間萬物不過一粒微塵緣，自然更好了兩日。」寶玉細細想到那《石頭記》給看看，遠遠寫著，見他依得相見，便細細的想起：「才明了
自從捷敏稱霸武林之後,200,1,"自從捷敏稱霸武林之後。」士隱道：「大凡年紀可惱，那如還有夢中睡夢，因迷失離迷關了。那一個人也沒空。只當件，幸虧我看見古今來，便是那一種孽障，只問：士隱道士隱道：「二老爺不下回稟。但被這敝書還，不知何渺茫茫兮，歸彼大荒。

那日後事情緣雖說，雨村也認得已經，但已經判斷，今歸薛姓，產難完劫。遺一子於薛家，彼此聚首，便說家而出些。我不必耽憂。」賈璉心內延師讀書，甚不必掛念的念功課，便回了自己錄一一回家。那書接畢，外書一個一"
陳岳紘說：看盡天下百態,200,1,陳岳紘說：看盡天下百態小，乃至可如珍。聖子稱為奇，所以相棄之人。」士隱道：「這一位孽子！他生從三個女人，題目修文，也有寶玉來歷，因我失了，你那個空空道人，託他人將這樣奇，也未可閱閱士來的。只問你句話之後，再歷敘別之情，竟再訪師那寧國閱去處就是靜室。所以此玉那一塊玉落的便空空道縹渺而來，士隱道：『真人人』，三字也不必。再更不明面飛過來了。我才拿去給你，他就拿去，果然和尚和尚道士去罷。」賈政道：「我來了一，無緣完了？我也不
陳岳紘說：看盡天下百態,200,1,陳岳紘說：看盡天下百態小，乃至可如珍。聖子稱為奇，所以相棄之人。」士隱道：「這一位孽子！他生從三個女人，題目修文，也有寶玉來歷，因我失了，你那個空空道人，託他人將這樣奇，也未可閱閱士來的。只問你句話之後，再歷敘別之情，竟再訪師那寧國閱去處就是靜室。所以此玉那一塊玉落的便空空道縹渺而來，士隱道：『真人人』，三字也不必。再更不明面飛過來了。我才拿去給你，他就拿去，果然和尚和尚道士去罷。」賈政道：「我來了一，無緣完了？我也不
陳岳紘說：看盡天下百態,200,2,陳岳紘說：看盡天下百態，千古艱斷地，萬殺救得之處，悔立無及劫呢！告訴了我今年才向下動？淨有地方棺清到晴決白」，方合一面定是鵠子，遂要其就滴下淚來。近來疑寶胎甚教了。甄士隱道欲安厝畢之，沿在友近大人行。賈政純老老小乩，她與親妹等眾老羅夷合天，暫且相認。各處蔣家歸薷飲，爰病禁進的渺尚，人並李紈見什麼似睡他也做響遍，更像生香，招轉自寶釵寶玉忘舊古誚；今公林薛寶釵、鴛墓並毗釵女未難兮。只聽靜無先聽鍊之茗，微微的書言。內上便不說
國王戰爭是一款真正的戰爭策略遊戲,50,2,國王戰爭是一款真正的戰爭策略遊戲真：「既之影前樣，古說別人這刻糊塗六遺一人往廟的西顧風一聞，神魂已定，把謂堯、間便有斷虧！難佛抓寶玉
國王戰爭是一款真正的戰爭策略遊戲,50,2,國王戰爭是一款真正的戰爭策略遊戲真：「既之影前樣，古說別人這刻糊塗六遺一人往廟的西顧風一聞，神魂已定，把謂堯、間便有斷虧！難佛抓寶玉
試試,50,1,試試，見有文盡不但尚未奏，實在情分聖上，大敷七萬奏聞，命賈政喝了一杯，說他一番不信，因又說到寧國府第收拾
